# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: sbreak.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             195   N   000006fe   00000885   00000702   ---        --------
             196   N   00000702   0000bfd5   00000704   x17_a7     00000f37
             197   N   00000704   000047ad   000006f8   ---        --------
             201   N   000006f8   0000c789   000006fc   x15_a5     00000061
             202   N   000006fc   00f82023   000006fe   ---        --------
             204   N   000006fe   00000885   00000702   ---        --------
             205   N   00000702   0000bfd5   00000704   x17_a7     00000f38
             206   N   00000704   000047ad   000006f8   ---        --------
             210   N   000006f8   0000c789   000006fc   x15_a5     0000006b
             211   N   000006fc   00f82023   000006fe   ---        --------
             213   N   000006fe   00000885   00000702   ---        --------
             214   N   00000702   0000bfd5   00000704   x17_a7     00000f39
             215   N   00000704   000047ad   000006f8   ---        --------
             219   N   000006f8   0000c789   000006fc   x15_a5     00000000
             220   N   000006fc   00f82023   00000706   ---        --------
             223   N   00000706   00f82023   00000708   x15_a5     0000000b
             225   N   00000708   000047b5   0000070c   ---        --------
             226   N   0000070c   00f82023   0000070e   x15_a5     0000000d
             228   N   0000070e   00001717   00000712   ---        --------
             229   N   00000712   00f80713   00000716   x14_a4     00001712
             231   N   00000716   0000c311   0000071a   x14_a4     00000f5c
             232   N   0000071a   00008702   0000071c   ---        --------
             233   N   0000071c   34202773   00000f5c   ---        --------
             236   N   00000f5c   342022f3   00000f5e   x06_t1     00000003
             237   N   00000f5e   430d91e3   00000f62   x05_t0     00000003
             239   N   00000f62   34200317   00000f66   ---        --------
             241   N   00000f66   fe620313   00000f6a   x06_t1     00000f66
             243   N   00000f6a   000022f3   00000f6e   x06_t1     00000f3c
             245   N   00000f6e   fd6399e3   00000f72   x05_t0     00000f3c
             247   N   00000f72   0000bfe9   00000f76   ---        --------
             248   N   00000f76   00000073   00000f50   ---        --------
             251   N   00000f50   000085f2   00000f54   ---        --------
             252   N   00000f54   00004501   00000f56   x11_a1     00000002
             253   N   00000f56   00000073   00000f58   x10_a0     00000000
             254   E   00000f58   0000430d   000006c0   mstatus    00001800
             254   E   00000f58   0000430d   000006c0   mepc       00000f58
             254   E   00000f58   0000430d   000006c0   mcause     0000000b
             254   E   00000f58   0000430d   000006c0   mtval      00000000
             257   N   000006c0   000047a1   000006c4   x14_a4     0000000b
             258   N   000006c4   06f70263   000006c6   x15_a5     00000008
             259   N   000006c6   000047a5   000006ca   ---        --------
             260   N   000006ca   04f70f63   000006cc   x15_a5     00000009
             261   N   000006cc   000047ad   000006d0   ---        --------
             262   N   000006d0   04f70c63   000006d2   x15_a5     0000000b
             263   N   000006d2   47ad0837   0000072a   ---        --------
             267   N   0000072a   08370013   00000f80   ---        --------
             270   N   00000f80   17428293   00000f84   x05_t0     ffffff80
             271   N   00000f84   00008282   00000f88   x05_t0     000000f4
             272   N   00000f88   00000013   000000f4   ---        --------
             275   N   000000f4   0000006f   000000f8   ---        --------
             276   N   000000f8   ffffffff   000000f8   ---        --------
